monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94727455342720,0.0,241139712,240386048
94727555515322,9.982786182023572,241139712,240386048
94727655704979,0.0,241139712,240386048
94727755936192,0.0,241139712,240386048
94727856117442,0.0,241139712,240386048
94727956303729,0.0,241139712,240386048
94728056480145,0.0,241156096,240386048
94728156646895,0.0,241156096,240386048
94728256817978,0.0,241156096,240386048
94728356983672,0.0,241156096,240386048
94728457154181,0.0,241156096,240386048
94728557374784,0.0,241156096,240386048
94728657587831,9.978688912320452,241156096,240386048
94728757799230,0.0,241156096,240386048
94728857980092,9.981987105069422,241156096,240386048
94728958151453,0.0,241156096,240386048
94729058366815,0.0,241156096,240386048
94729158538954,0.0,241156096,240386048
94729258707927,0.0,241156096,240386048
94729358919585,0.0,241156096,240386048
94729459089762,0.0,241172480,240386048
94729559278939,0.0,241172480,240386048
94729659492413,0.0,241172480,240386048
94729759701276,0.0,241172480,240386048
94729859885101,0.0,241172480,240386048
94729960122316,0.0,241172480,240386048
94730060309956,0.0,241172480,240386048
94730160509652,0.0,241172480,240386048
94730260727478,0.0,241172480,240386048
94730360927748,9.979998288031185,241172480,240386048
94730461143055,0.0,241172480,240386048
94730561302918,0.0,241172480,240386048
94730661482485,0.0,241172480,240386048
94730761797591,0.0,241172480,240386048
94730862014417,0.0,241172480,240386048
94730962208188,0.0,241172480,240386048
94731062420625,0.0,241172480,240386048
94731162600044,0.0,241172480,240386048
94731262816723,0.0,241172480,240386048
94731363037845,0.0,241172480,240386048
94731463256283,9.978198235474503,241172480,240386048
94731563473296,0.0,241172480,240386048
94731663661456,0.0,241172480,240386048
94731763888135,0.0,241172480,240386048
94731864106944,0.0,241172480,240386048
94731964290067,0.0,241172480,240386048
94732064465301,0.0,241172480,240386048
94732164677351,0.0,241172480,240386048
94732264845085,0.0,241172480,240386048
94732365032153,0.0,241172480,240386048
94732465304592,0.0,241172480,240386048
94732565520179,9.978465573455765,241172480,240386048
94732665729100,0.0,241172480,240386048
94732765870038,0.0,241172480,240386048
94732866024791,0.0,241172480,240386048
94732966195360,0.0,241172480,240386048
94733066384799,0.0,241172480,240386048
94733166570515,0.0,241172480,240386048
94733266741509,0.0,241172480,240386048
94733366882577,0.0,241172480,240386048
94733467021590,0.0,241172480,240386048
94733567172048,0.0,241172480,240386048
94733667336617,0.0,241172480,240386048
94733767486463,0.0,241172480,240386048
94733867606809,0.0,241188864,240386048
94733967750397,0.0,241188864,240386048
94734067895039,0.0,241188864,240386048
94734168035571,0.0,241188864,240386048
94734268234789,9.980021892625414,241188864,240386048
94734368431358,0.0,241188864,240386048
94734468587723,0.0,241188864,240386048
94734568737126,0.0,241188864,240386048
94734668900085,0.0,241188864,240386048
94734769061080,0.0,241188864,240386048
94734869184965,0.0,241188864,240386048
94734969336830,0.0,241188864,240386048
94735069481974,0.0,241188864,240386048
94735169627544,0.0,241188864,240386048
94735269760483,0.0,241188864,240386048
94735369897293,0.0,241188864,240386048
94735470038474,0.0,241188864,240386048
94735570156674,0.0,241188864,240386048
94735670290948,0.0,241188864,240386048
94735770444685,0.0,241188864,240386048
94735870578070,0.0,241188864,240386048
94735970699843,0.0,241188864,240386048
94736070844525,0.0,241188864,240386048
94736170978595,0.0,241188864,240386048
94736271121887,9.985757712752845,241188864,240386048
94736371239217,0.0,241188864,240386048
94736471384361,0.0,241188864,240386048
94736571527006,0.0,241188864,240386048
94736671640984,0.0,241188864,240386048
94736771781240,0.0,241188864,240386048
94736871930923,0.0,241188864,240386048
94736972073790,0.0,241188864,240386048
94737072195564,0.0,241188864,240386048
94737172341043,0.0,241188864,240386048
94737272474484,0.0,241188864,240386048
94737372599870,0.0,241188864,240386048
94737472798460,0.0,241188864,240386048
94737572981180,0.0,241188864,240386048
94737673174716,0.0,241188864,240386048
94737773335176,0.0,241188864,240386048
94737873512971,0.0,241188864,240386048
94737973702043,9.981200409092045,241188864,240386048
94738073863263,0.0,241188864,240386048
94738174051798,0.0,241188864,240386048
94738274245908,0.0,241188864,240386048
94738374424591,0.0,241188864,240386048
94738474602737,0.0,241188864,240386048
94738574794829,0.0,241188864,240386048
94738674983513,0.0,241188864,240386048
94738775183271,0.0,241188864,240386048
94738875339288,0.0,241188864,240386048
94738975514769,0.0,241188864,240386048
94739075707879,0.0,241188864,240386048
94739175889433,9.98188666778015,241188864,240386048
94739276065432,0.0,241188864,240386048
94739376263079,0.0,241188864,240386048
94739476432467,0.0,241188864,240386048
94739576602707,0.0,241188864,240386048
94739676812392,0.0,241188864,240386048
94739777001133,0.0,241188864,240386048
94739877195688,0.0,241188864,240386048
94739977363669,0.0,241188864,240386048
94740077554483,0.0,241188864,240386048
94740177754039,0.0,241188864,240386048
94740277934390,0.0,241188864,240386048
94740378124501,0.0,241188864,240386048
94740478349853,9.977613230059774,241188864,240386048
94740578523057,0.0,241188864,240386048
94740678702650,0.0,241188864,240386048
94740778924206,0.0,241205248,240386048
94740879106799,0.0,241205248,240386048
94740979263929,0.0,241205248,240386048
94741079461522,0.0,241205248,240386048
94741179636578,0.0,241205248,240386048
94741279825726,0.0,241205248,240386048
94741379990690,0.0,241205248,240386048
94741480188487,0.0,241205248,240386048
94741580382729,0.0,241205248,240386048
94741680551507,0.0,241205248,240386048
94741780740583,9.981065419750127,241205248,240386048
94741880944491,0.0,241205248,240386048
94741981121844,0.0,241205248,240386048
94742081277715,0.0,241205248,240386048
94742181477680,0.0,241205248,240386048
94742281656792,0.0,241221632,240386048
94742381872904,0.0,241221632,240386048
94742482073091,0.0,241221632,240386048
94742582261741,0.0,241221632,240386048
94742682459539,0.0,241221632,240386048
94742782632893,0.0,241221632,240386048
94742882815191,0.0,241221632,240386048
94742983021027,9.979528893431073,241221632,240386048
94743083193343,0.0,241221632,240386048
94743183353678,0.0,241221632,240386048
94743283551884,0.0,241221632,240386048
94743383732478,0.0,241221632,240386048
94743483914165,0.0,241221632,240386048
94743584158354,0.0,241221632,240386048
94743684338801,0.0,241221632,240386048
