window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
708,15655981636904,15655997153095,15656141077504,143.924409,159.4406,0
709,15656599869814,15656615658857,15656791452870,175.794013,191.583056,0
710,15657216886260,15657232368025,15657377169230,144.801205,160.28297,0
711,15657834914281,15657860275236,15658054048404,193.773168,219.134123,0
712,15658453409599,15658474345570,15658630823169,156.477599,177.41357,0
713,15659070758990,15659088495757,15659223506199,135.010442,152.747209,0
714,15659688561049,15659706115649,15659852101336,145.985687,163.540287,0
715,15660306079923,15660321735651,15660485205493,163.469842,179.12557,0
716,15660924198167,15660941735415,15661069123872,127.388457,144.925705,0
717,15661543425449,15661559138474,15661694149787,135.011313,150.724338,0
718,15662161099601,15662181241405,15662332943169,151.701764,171.843568,0
719,15662777929790,15662797227242,15662951204822,153.97758,173.275032,0
720,15663397074480,15663420050600,15663581655516,161.604916,184.581036,0
721,15664015340985,15664035727141,15664175977122,140.249981,160.636137,0
722,15664631992637,15664649271625,15664840650979,191.379354,208.658342,0
723,15665249854716,15665266196408,15665447147924,180.951516,197.293208,0
724,15665867924943,15665884089746,15666025747117,141.657371,157.822174,0
725,15666485790634,15666502391807,15666662211815,159.820008,176.421181,0
726,15667103626102,15667119146220,15667253814533,134.668313,150.188431,0
727,15667721203738,15667736911447,15667878092152,141.180705,156.888414,0
728,15668339148484,15668355441509,15668509031015,153.589506,169.882531,0
729,15668957117175,15668983042445,15669149609178,166.566733,192.492003,0
730,15669575029626,15669591359448,15669758179903,166.820455,183.150277,0
731,15670192735984,15670209070287,15670344952119,135.881832,152.216135,0
732,15670811018176,15670830824036,15670980067485,149.243449,169.049309,0
733,15671429723739,15671445500894,15671588945396,143.444502,159.221657,0
734,15672047082098,15672063483882,15672234919692,171.43581,187.837594,0
735,15672665836735,15672684887650,15672829013356,144.125706,163.176621,0
736,15673281903760,15673297474063,15673440444361,142.970298,158.540601,0
737,15673901574861,15673924911649,15674076845080,151.933431,175.270219,0
738,15674519067073,15674537716117,15674683782250,146.066133,164.715177,0
739,15675137418599,15675153201032,15675289193698,135.992666,151.775099,0
740,15675754180033,15675770473558,15676003362486,232.888928,249.182453,0
741,15676372546505,15676388196178,15676542282610,154.086432,169.736105,0
742,15676990165587,15677005736075,15677134086794,128.350719,143.921207,0
743,15677608262041,15677630370976,15677770529903,140.158927,162.267862,0
744,15678226533457,15678242192241,15678365661532,123.469291,139.128075,0
745,15678843981466,15678860711325,15679049848901,189.137576,205.867435,0
746,15679462995402,15679508435698,15680045775416,537.339718,582.780014,0
747,15680240158291,15680240869162,15680422158420,181.289258,182.000129,0
748,15680780443029,15680801026907,15680997360080,196.333173,216.917051,0
749,15681397588335,15681418060954,15681632856856,214.795902,235.268521,0
750,15682016379160,15682036891724,15682234662008,197.770284,218.282848,0
751,15682633018707,15682652626419,15682837145716,184.519297,204.127009,0
752,15683251754977,15683270319207,15683444540833,174.221626,192.785856,0
753,15683868513654,15683887783347,15684124782443,236.999096,256.268789,0
