recording_id,phase,block_index,start_since_command_s,end_since_command_s_exclusive,midpoint_since_command_s,xyz_points,first_since_command_s,last_since_command_s,quality_valid,quality_reasons,axis_mean_g,axis_std_population_g,vector_ac_rms_g,vector_ac_rms_mg
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,11,55,60,57.5,1036,55.000918776,59.998431537,True,[],"[-0.6282915057915058, -0.7120624517374518, 0.08915791505791505]","[0.00962463483993496, 0.007352707415924819, 0.010686076220795255]",0.016152031672298426,16.152031672298428
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,12,60,65,62.5,1035,60.002128518,64.994759032,True,[],"[-0.6286649275362318, -0.7117255072463768, 0.08913478260869566]","[0.010465629823543566, 0.007235767746938033, 0.010438266085216665]",0.01645731270155786,16.457312701557857
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,13,65,70,67.5,1036,65.000366735,69.996982759,True,[],"[-0.6279414092664092, -0.7119608108108109, 0.08965106177606176]","[0.010395603166504347, 0.0077489872871098755, 0.010893479897536733]",0.016934676656176893,16.934676656176894
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,14,70,75,72.5,1036,70.000667795,74.997668217,True,[],"[-0.628159749034749, -0.7115956563706564, 0.08918426640926641]","[0.009971400780620036, 0.007204479680374598, 0.010649536104896277]",0.016271016570643938,16.271016570643937
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,15,75,80,77.5,1036,75.003201384,79.999936056,True,[],"[-0.6286114864864865, -0.7124426640926641, 0.08958330115830115]","[0.010018490304602183, 0.007374609095530196, 0.010611687713525159]",0.01635123614362735,16.35123614362735
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,16,80,85,82.5,1035,80.005538166,84.996608996,True,[],"[-0.628031884057971, -0.7116953623188406, 0.08906695652173913]","[0.009691847653728313, 0.0073324438023828, 0.010731535987466262]",0.01621303511710452,16.21303511710452
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,17,85,90,87.5,1036,85.002239495,89.998916276,True,[],"[-0.6281258687258687, -0.7117876447876448, 0.0894138996138996]","[0.010369897532013795, 0.0076890084672688154, 0.011285091125206224]",0.01714668795244159,17.146687952441592
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,18,90,95,92.5,1035,90.004513702,94.995399417,True,[],"[-0.6280318840579711, -0.7122002898550724, 0.0893344927536232]","[0.00939777483304661, 0.007236014991655443, 0.01059730339451762]",0.01590537406059855,15.90537406059855
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,19,95,100,97.5,1036,95.000972935,99.997313823,True,[],"[-0.6283743243243243, -0.7119909266409266, 0.08927837837837836]","[0.00984863909944058, 0.0071159722126564, 0.010603258390232427]",0.016126432994694212,16.126432994694213
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,20,100,105,102.5,1036,100.002856823,104.999172902,True,[],"[-0.6281446911196912, -0.7121640926640925, 0.08970376447876448]","[0.009569073253742016, 0.007327675644728536, 0.010605409275738473]",0.016054180115961957,16.054180115961955
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,21,105,110,107.5,1035,105.004705661,109.997187171,True,[],"[-0.6283446376811594, -0.7120910144927537, 0.08952666666666667]","[0.009737781281637761, 0.007430287049466607, 0.01050261453530951]",0.016135007344398097,16.135007344398097
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,22,110,115,112.5,1036,110.002789856,114.999349186,True,[],"[-0.6285776061776062, -0.712529247104247, 0.08976023166023166]","[0.009652939839834672, 0.007253488297594548, 0.010453956851161543]",0.015971147544267313,15.971147544267314
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,23,115,120,117.5,1035,115.004948538,119.997933373,True,[],"[-0.628280579710145, -0.711895072463768, 0.08926289855072464]","[0.00962285924004872, 0.007432740268117793, 0.010643719669833372]",0.016159635399881047,16.159635399881047
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,24,120,125,122.5,1036,120.001617947,124.999185266,True,[],"[-0.6281409266409267, -0.7120812741312741, 0.0892219111969112]","[0.009857110632906953, 0.007255395856392686, 0.010759633046583571]",0.01629641378829897,16.29641378829897
